Date,Set,LSTM_Probability,Actual
2018-04-03,Train,0.4932529,0
2018-04-04,Train,0.491469,0
2018-04-05,Train,0.49014556,0
2018-04-06,Train,0.489322,1
2018-04-07,Train,0.4886119,1
2018-04-08,Train,0.488104,0
2018-04-09,Train,0.48797324,1
2018-04-10,Train,0.48818794,1
2018-04-11,Train,0.48875412,1
2018-04-12,Train,0.48922044,1
2018-04-13,Train,0.49018875,1
2018-04-14,Train,0.4917986,1
2018-04-15,Train,0.49414703,0
2018-04-16,Train,0.49730644,0
2018-04-17,Train,0.5008218,1
2018-04-18,Train,0.50422835,1
2018-04-19,Train,0.50775623,1
2018-04-20,Train,0.5111464,1
2018-04-21,Train,0.51455164,0
2018-04-22,Train,0.5175197,1
2018-04-23,Train,0.5199648,1
2018-04-24,Train,0.5221827,0
2018-04-25,Train,0.5240529,1
2018-04-26,Train,0.5251558,0
2018-04-27,Train,0.5251154,1
2018-04-28,Train,0.5241797,1
2018-04-29,Train,0.5226104,0
2018-04-30,Train,0.5204954,0
2018-05-01,Train,0.51815933,1
2018-05-02,Train,0.5155902,1
2018-05-03,Train,0.5126443,0
2018-05-04,Train,0.5098231,1
2018-05-05,Train,0.5074718,0
2018-05-06,Train,0.505993,0
2018-05-07,Train,0.50527394,0
2018-05-08,Train,0.5047981,1
2018-05-09,Train,0.50418496,0
2018-05-10,Train,0.5037788,0
2018-05-11,Train,0.50286245,1
2018-05-12,Train,0.50165874,1
2018-05-13,Train,0.4998806,0
2018-05-14,Train,0.4978919,0
2018-05-15,Train,0.4961548,0
2018-05-16,Train,0.49489126,0
2018-05-17,Train,0.49395925,1
2018-05-18,Train,0.49288237,0
2018-05-19,Train,0.4918961,1
2018-05-20,Train,0.49103388,0
2018-05-21,Train,0.49072334,0
2018-05-22,Train,0.49115473,0
2018-05-23,Train,0.49204963,1
2018-05-24,Train,0.49267238,0
2018-05-25,Train,0.4930846,0
2018-05-26,Train,0.49308467,1
2018-05-27,Train,0.492534,0
2018-05-28,Train,0.49135235,1
2018-05-29,Train,0.48973557,0
2018-05-30,Train,0.4879676,1
2018-05-31,Train,0.48626134,1
2018-06-01,Train,0.48511645,1
2018-06-02,Train,0.48455524,1
2018-06-03,Train,0.48500642,0
2018-06-04,Train,0.48625687,1
2018-06-05,Train,0.48828205,1
2018-06-06,Train,0.49114656,1
2018-06-07,Train,0.4945566,0
2018-06-08,Train,0.49805748,0
2018-06-09,Train,0.50149393,0
2018-06-10,Train,0.50449663,1
2018-06-11,Train,0.5065462,0
2018-06-12,Train,0.5075854,0
2018-06-13,Train,0.50716513,1
2018-06-14,Train,0.50571716,0
2018-06-15,Train,0.5033854,1
2018-06-16,Train,0.5004793,0
2018-06-17,Train,0.49729386,1
2018-06-18,Train,0.4942464,1
2018-06-19,Train,0.4918847,1
2018-06-20,Train,0.49026167,0
2018-06-21,Train,0.489686,0
2018-06-22,Train,0.49021548,1
2018-06-23,Train,0.49129987,1
2018-06-24,Train,0.49236196,1
2018-06-25,Train,0.49323422,0
2018-06-26,Train,0.49351367,1
2018-06-27,Train,0.4935723,0
2018-06-28,Train,0.49336264,1
2018-06-29,Train,0.4924494,1
2018-06-30,Train,0.49135786,0
2018-07-01,Train,0.49034294,1
2018-07-02,Train,0.4900847,0
2018-07-03,Train,0.49070874,1
2018-07-04,Train,0.49202514,1
2018-07-05,Train,0.49409863,1
2018-07-06,Train,0.49677712,1
2018-07-07,Train,0.50063664,0
2018-07-08,Train,0.5049453,0
2018-07-09,Train,0.50913215,0
2018-07-10,Train,0.5129656,1
2018-07-11,Train,0.5158621,0
2018-07-12,Train,0.5174115,1
2018-07-13,Train,0.5178799,1
2018-07-14,Train,0.51695806,1
2018-07-15,Train,0.51486486,1
2018-07-16,Train,0.51199245,1
2018-07-17,Train,0.5093113,1
2018-07-18,Train,0.5079757,1
2018-07-19,Train,0.50819886,0
2018-07-20,Train,0.5098524,1
2018-07-21,Train,0.51231766,0
2018-07-22,Train,0.51524675,1
2018-07-23,Train,0.5184935,1
2018-07-24,Train,0.5218732,0
2018-07-25,Train,0.5257094,0
2018-07-26,Train,0.5292264,1
2018-07-27,Train,0.53193307,1
2018-07-28,Train,0.5337391,1
2018-07-29,Train,0.534688,0
2018-07-30,Train,0.53482425,0
2018-07-31,Train,0.53403366,0
2018-08-01,Train,0.5322846,0
2018-08-02,Train,0.5297216,0
2018-08-03,Train,0.5261439,0
2018-08-04,Train,0.5217879,1
2018-08-05,Train,0.51673573,0
2018-08-06,Train,0.5112953,0
2018-08-07,Train,0.50574446,0
2018-08-08,Train,0.5003365,1
2018-08-09,Train,0.49570656,0
2018-08-10,Train,0.49210358,1
2018-08-11,Train,0.48924145,1
2018-08-12,Train,0.48715127,0
2018-08-13,Train,0.48569748,0
2018-08-14,Train,0.48477262,1
2018-08-15,Train,0.4844515,1
2018-08-16,Train,0.48455283,1
2018-08-17,Train,0.4849472,0
2018-08-18,Train,0.4858412,1
2018-08-19,Train,0.48736605,0
2018-08-20,Train,0.48934945,1
2018-08-21,Train,0.49156177,0
2018-08-22,Train,0.49409395,1
2018-08-23,Train,0.49649197,1
2018-08-24,Train,0.49838346,1
2018-08-25,Train,0.5004392,0
2018-08-26,Train,0.5025711,1
2018-08-27,Train,0.5049145,1
