Set,LSTM_Probability,Actual
Train,0.49876317,0
Train,0.4983917,0
Train,0.49816042,0
Train,0.49802604,1
Train,0.49793813,1
Train,0.49784404,0
Train,0.49779174,1
Train,0.4977594,1
Train,0.4977325,1
Train,0.49768835,1
Train,0.49784705,1
Train,0.49837604,1
Train,0.49927098,0
Train,0.50059485,0
Train,0.50220656,1
Train,0.50389355,1
Train,0.5055896,1
Train,0.50728,1
Train,0.5089587,0
Train,0.5105044,1
Train,0.5118182,1
Train,0.51286995,0
Train,0.5136157,1
Train,0.5138308,0
Train,0.5133933,1
Train,0.5124483,1
Train,0.51124275,0
Train,0.5099573,0
Train,0.5086963,1
Train,0.50743407,1
Train,0.50614107,0
Train,0.5050918,1
Train,0.50438833,0
Train,0.5041015,0
Train,0.5041245,0
Train,0.50422394,1
Train,0.5042578,0
Train,0.50425494,0
Train,0.5040508,1
Train,0.50360596,1
Train,0.5030234,0
Train,0.5024552,0
Train,0.5019784,0
Train,0.50160444,0
Train,0.501341,1
Train,0.501161,0
Train,0.5010721,1
Train,0.5010557,0
Train,0.5011311,0
Train,0.5013137,0
Train,0.5015274,1
Train,0.50160325,0
Train,0.50154865,0
Train,0.5013444,1
Train,0.50100875,0
Train,0.50053227,1
Train,0.49993452,0
Train,0.49928996,1
Train,0.49868387,1
Train,0.49820042,1
Train,0.49785188,1
Train,0.49775097,0
Train,0.49798512,1
Train,0.49854556,1
Train,0.4993964,1
Train,0.50061566,0
Train,0.5021529,0
Train,0.5038072,0
Train,0.50534105,1
Train,0.5062907,0
Train,0.5065849,0
Train,0.50622034,1
Train,0.5053905,0
Train,0.5043235,1
Train,0.5031996,0
Train,0.5021156,1
Train,0.50118786,1
Train,0.50044185,1
Train,0.49991867,0
Train,0.4996918,0
Train,0.49978966,1
Train,0.500057,1
Train,0.5002867,1
Train,0.50041664,0
Train,0.5004245,1
Train,0.50034964,0
Train,0.5001768,1
Train,0.499863,1
Train,0.49948195,0
Train,0.49920297,1
Train,0.49914455,0
Train,0.49946278,1
Train,0.50024486,1
Train,0.50148916,1
Train,0.50315267,1
Train,0.50516695,0
Train,0.50747126,0
Train,0.5098476,0
Train,0.51210964,1
Train,0.5136807,0
Train,0.51436543,1
Train,0.5142331,1
Train,0.51319647,1
Train,0.51165813,1
Train,0.5100081,1
Train,0.5088302,1
Train,0.5084752,1
Train,0.508971,0
Train,0.5102669,1
Train,0.51201355,0
Train,0.5140839,1
Train,0.51627666,1
Train,0.51847565,0
Train,0.5205404,0
Train,0.5221678,1
Train,0.5230429,1
Train,0.52323526,1
Train,0.5228311,0
Train,0.5219016,0
Train,0.5205814,0
Train,0.5187393,0
Train,0.5164684,0
Train,0.5139029,0
Train,0.51122373,1
Train,0.508569,0
Train,0.5061065,0
Train,0.5039696,0
Train,0.5021988,1
Train,0.50085974,0
Train,0.4998752,1
Train,0.49919423,1
Train,0.49874732,0
Train,0.49848184,0
Train,0.49833265,1
Train,0.4982229,1
Train,0.4981023,1
Train,0.4979671,0
Train,0.4978476,1
Train,0.49788225,0
Train,0.49812773,1
Train,0.49856192,0
Train,0.49927962,1
Train,0.5001581,1
Train,0.5011287,1
Train,0.50230515,0
Train,0.5037225,1
Train,0.50535274,1
Train,0.5072291,0
Train,0.5093378,0
Train,0.51151043,1
Train,0.5135385,1
Train,0.5153103,1
Train,0.5168488,0
Train,0.51814175,1
Train,0.5191899,0
Train,0.5199114,0
Train,0.51971555,0
Train,0.51840615,0
Train,0.5160967,1
Train,0.5132826,1
Train,0.510363,0
Train,0.50760555,1
Train,0.5051985,1
Train,0.5032598,0
Train,0.50180125,1
Train,0.50084543,0
Train,0.50037694,0
Train,0.5004448,1
Train,0.5008765,1
Train,0.5015391,1
Train,0.50228685,1
Train,0.50321114,0
Train,0.5044259,0
Train,0.5059385,0
Train,0.5076312,0
Train,0.50929207,1
Train,0.5105928,1
Train,0.5114388,0
Train,0.5120628,0
Train,0.512602,1
Train,0.5130987,0
Train,0.5136095,0
Train,0.51411104,0
Train,0.5145141,1
Train,0.51458526,1
Train,0.5144435,0
Train,0.5142634,1
Train,0.51410127,1
Train,0.5141346,0
Train,0.51452607,0
Train,0.5153164,0
Train,0.51622546,1
Train,0.5166789,1
Train,0.5165185,1
Train,0.5157646,1
Train,0.51452374,0
Train,0.51315784,0
Train,0.51194674,0
Train,0.51093316,0
Train,0.51011133,1
Train,0.50948966,0
Train,0.5089979,1
Train,0.5086209,0
Train,0.50834966,1
Train,0.50815845,0
Train,0.508057,0
Train,0.5081034,1
Train,0.5081365,1
Train,0.5081572,0
Train,0.5082078,1
Train,0.5080197,0
Train,0.5076609,1
Train,0.5071329,1
Train,0.50659394,0
Train,0.5061209,1
Train,0.5056975,1
Train,0.50538373,1
Train,0.50529087,1
Train,0.5055302,0
Train,0.5062773,0
Train,0.50730944,1
Train,0.5083987,1
Train,0.50940394,0
Train,0.51027095,0
Train,0.51109457,0
Train,0.5115551,0
Train,0.51158214,0
Train,0.51120144,0
Train,0.5105449,1
Train,0.50970554,0
Train,0.5087131,0
Train,0.5075797,1
Train,0.50638217,0
Train,0.5052228,0
Train,0.50407386,0
Train,0.5028919,1
Train,0.50168943,0
Train,0.50048196,1
Train,0.49925256,1
Train,0.49804345,1
Train,0.4969656,0
Train,0.49603996,1
Train,0.4953014,0
Train,0.49475455,0
Train,0.49443895,1
Train,0.49436504,0
Train,0.4945295,0
Train,0.49482015,0
Train,0.49508297,1
Train,0.49526873,1
Train,0.49538225,0
Train,0.49550197,0
Train,0.49569628,1
Train,0.49599925,0
Train,0.49639213,0
Train,0.49685863,0
Train,0.4973353,1
Train,0.4977859,1
Train,0.49820036,1
Train,0.4986205,1
Train,0.49928895,1
Train,0.50040054,0
Train,0.5020803,1
Train,0.50420403,0
Train,0.50653255,1
Train,0.5089356,0
Train,0.51121175,1
Train,0.5130311,0
Train,0.51435554,1
Train,0.51490235,0
Train,0.51485956,1
Train,0.51437026,0
Train,0.51354223,1
Train,0.51230156,1
Train,0.51090807,0
Train,0.5096166,1
Train,0.50853693,0
Train,0.5078591,1
Train,0.5076287,0
Train,0.5081016,1
Train,0.5093653,1
Train,0.51135576,0
Train,0.513849,1
Train,0.515853,0
Train,0.5169116,0
Train,0.51699495,1
Train,0.5162731,0
Train,0.5152324,1
Train,0.5140385,1
Train,0.51287186,0
Train,0.51190466,1
Train,0.5110824,0
Train,0.51060236,0
Train,0.51040745,1
Train,0.51039493,0
Train,0.5103909,1
Train,0.5103319,0
Train,0.5101705,1
Train,0.5099842,0
Train,0.5097184,0
Train,0.5094094,0
Train,0.50894654,1
Train,0.50840163,0
Train,0.5078879,1
Train,0.5074178,1
Train,0.50707483,0
Train,0.50694346,0
Train,0.5070587,1
Train,0.50726366,0
Train,0.50751734,0
Train,0.5077002,1
Train,0.5076652,1
Train,0.5078989,1
Train,0.5086744,0
Train,0.51011884,1
Train,0.5122707,0
Train,0.5148206,0
Train,0.5175029,1
Train,0.5200309,1
Train,0.522187,1
Train,0.52399266,1
Train,0.52545685,1
Train,0.5266993,1
Train,0.5276916,0
Train,0.5285191,1
Train,0.52911377,1
Train,0.5293,0
Train,0.5293637,1
Train,0.5285804,0
Train,0.52698535,0
Train,0.5247234,1
Train,0.5220357,1
Train,0.5191096,1
Train,0.5161853,0
Train,0.51343685,0
Train,0.5109148,1
Train,0.5086174,1
Train,0.5068064,1
Train,0.5056679,0
Train,0.5053647,1
Train,0.50591606,0
Train,0.50722915,0
Train,0.509423,1
Train,0.512081,0
Train,0.5148964,1
Train,0.517557,1
Train,0.51987636,1
Train,0.52192104,0
Train,0.52379614,1
Train,0.5254737,1
Train,0.52700484,1
Train,0.5283514,0
Train,0.5297214,0
Train,0.5307392,1
Train,0.5312743,0
Train,0.5313711,0
Train,0.530833,1
Train,0.5296639,1
Train,0.5278747,0
Train,0.52622455,1
Train,0.52493376,1
Train,0.5241656,0
Train,0.5235398,1
Train,0.5228989,1
Train,0.52224547,1
Train,0.5220379,0
Train,0.52209175,1
Train,0.5222645,1
Train,0.5224236,1
Train,0.52251387,1
Train,0.52254,0
Train,0.52250373,1
Train,0.52228594,0
Train,0.521888,1
Train,0.5211477,1
Train,0.5199844,1
Train,0.51843643,0
Train,0.51654506,1
Train,0.51436865,1
Train,0.51210123,1
Train,0.51004326,1
Train,0.50836253,1
Train,0.50718147,0
Train,0.50663483,1
Train,0.5067371,1
Train,0.5075631,0
Train,0.50907815,0
Train,0.51093996,1
Train,0.51256907,0
Train,0.51363504,1
Train,0.5140863,0
Train,0.5140362,1
Train,0.51362514,1
Train,0.51306057,1
Train,0.51256335,1
Train,0.51243186,1
Train,0.5129563,0
Train,0.5142171,0
Train,0.51609254,1
Train,0.5183319,1
Train,0.52060324,1
Train,0.52295464,1
Train,0.5252184,1
Train,0.5271721,0
Train,0.52861357,1
Train,0.5292169,1
Train,0.52901137,1
