Date,Set,LSTM_Probability,Actual
2018-04-03,Train,0.5508488,1
2018-04-04,Train,0.5551518,0
2018-04-05,Train,0.5630752,0
2018-04-06,Train,0.57725656,1
2018-04-07,Train,0.59622264,0
2018-04-08,Train,0.61353546,1
2018-04-09,Train,0.62484014,0
2018-04-10,Train,0.6299332,0
2018-04-11,Train,0.62892234,1
2018-04-12,Train,0.6116928,0
2018-04-13,Train,0.5739646,0
2018-04-14,Train,0.5189414,1
2018-04-15,Train,0.4557299,0
2018-04-16,Train,0.4012904,0
2018-04-17,Train,0.36999092,0
2018-04-18,Train,0.36306182,0
2018-04-19,Train,0.3940618,1
2018-04-20,Train,0.4336453,0
2018-04-21,Train,0.48029023,0
2018-04-22,Train,0.5204751,0
2018-04-23,Train,0.55726695,1
2018-04-24,Train,0.5887763,1
2018-04-25,Train,0.60975236,1
2018-04-26,Train,0.62262845,0
2018-04-27,Train,0.61372876,1
2018-04-28,Train,0.6065955,0
2018-04-29,Train,0.5896815,0
2018-04-30,Train,0.56042695,0
2018-05-01,Train,0.5294262,0
2018-05-02,Train,0.49293613,1
2018-05-03,Train,0.44470808,0
2018-05-04,Train,0.38577127,0
2018-05-05,Train,0.3309926,0
2018-05-06,Train,0.29297653,0
2018-05-07,Train,0.277094,0
2018-05-08,Train,0.27700114,0
2018-05-09,Train,0.28961244,0
2018-05-10,Train,0.32263565,1
2018-05-11,Train,0.35822666,0
2018-05-12,Train,0.411308,0
2018-05-13,Train,0.45212603,0
2018-05-14,Train,0.4862413,0
2018-05-15,Train,0.51382256,0
2018-05-16,Train,0.53110933,1
2018-05-17,Train,0.5365797,0
2018-05-18,Train,0.5300945,0
2018-05-19,Train,0.5237843,0
2018-05-20,Train,0.513299,0
2018-05-21,Train,0.497627,1
2018-05-22,Train,0.48450476,1
2018-05-23,Train,0.48273972,0
2018-05-24,Train,0.47559652,0
2018-05-25,Train,0.48608848,0
2018-05-26,Train,0.49488607,0
2018-05-27,Train,0.49433875,0
2018-05-28,Train,0.4849143,1
2018-05-29,Train,0.4781801,0
2018-05-30,Train,0.46498492,0
2018-05-31,Train,0.44597328,0
2018-06-01,Train,0.42387277,0
2018-06-02,Train,0.38368785,0
2018-06-03,Train,0.34156272,0
2018-06-04,Train,0.2946506,0
2018-06-05,Train,0.2728262,0
2018-06-06,Train,0.27792948,0
2018-06-07,Train,0.2811685,0
2018-06-08,Train,0.27155963,0
2018-06-09,Train,0.27019358,1
2018-06-10,Train,0.2804974,0
2018-06-11,Train,0.304536,1
2018-06-12,Train,0.33179298,1
2018-06-13,Train,0.34178194,1
2018-06-14,Train,0.3647751,1
2018-06-15,Train,0.38285503,0
2018-06-16,Train,0.41476718,0
2018-06-17,Train,0.45114213,1
2018-06-18,Train,0.48785493,0
2018-06-19,Train,0.51175475,0
2018-06-20,Train,0.5017712,0
2018-06-21,Train,0.4576592,1
2018-06-22,Train,0.4038946,0
2018-06-23,Train,0.36916268,0
2018-06-24,Train,0.3484846,0
2018-06-25,Train,0.38381153,0
2018-06-26,Train,0.38320923,0
2018-06-27,Train,0.39016226,1
2018-06-28,Train,0.3788439,1
2018-06-29,Train,0.35073343,0
2018-06-30,Train,0.3217076,0
2018-07-01,Train,0.27008364,1
2018-07-02,Train,0.21848755,0
2018-07-03,Train,0.16159442,0
2018-07-04,Train,0.13758633,0
2018-07-05,Train,0.13782361,0
2018-07-06,Train,0.15952359,0
2018-07-07,Train,0.20441544,0
2018-07-08,Train,0.24543887,0
2018-07-09,Train,0.2731402,1
2018-07-10,Train,0.30367503,0
2018-07-11,Train,0.3515669,0
2018-07-12,Train,0.38932753,0
2018-07-13,Train,0.43848273,0
2018-07-14,Train,0.45961428,0
2018-07-15,Train,0.47145426,1
2018-07-16,Train,0.4876256,1
2018-07-17,Train,0.4755112,0
2018-07-18,Train,0.45332965,0
2018-07-19,Train,0.42311996,0
2018-07-20,Train,0.39400735,0
2018-07-21,Train,0.37693325,0
2018-07-22,Train,0.3720613,1
2018-07-23,Train,0.38921085,1
2018-07-24,Train,0.416261,0
2018-07-25,Train,0.46828026,0
2018-07-26,Train,0.5064473,0
2018-07-27,Train,0.54423594,0
2018-07-28,Train,0.5786464,0
2018-07-29,Train,0.5929704,0
2018-07-30,Train,0.5918848,1
2018-07-31,Train,0.5717399,0
2018-08-01,Train,0.55529076,0
