,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Open,2479.0,28558.609107518783,22202.444619640588,3236.274658203125,8935.91015625,23162.8984375,43178.501953125,106147.296875,0.8890653135040699,0.11175310461993826
High,2479.0,29184.52901806818,22696.8107609315,3275.3779296875,9172.57568359375,23585.384765625,44028.1015625,108268.4453125,0.883417358781688,0.09102704220175806
Low,2479.0,27908.02117759886,21692.583929160835,3191.303466796875,8796.50146484375,22756.2578125,42371.33203125,105291.734375,0.8986835058865519,0.14608803997744824
Close,2479.0,28590.839378316923,22233.68185364962,3236.76171875,8930.080078125,23164.62890625,43189.546875,106140.6015625,0.8904780224278636,0.115545258077971
Volume,2479.0,27482161529.94151,19711406726.922062,2923670016.0,14629999550.5,24571565421.0,35852672024.5,350967941479.0,3.047539448751517,31.915192228006305
SMA_14,2479.0,28363.32302363852,21922.45542121767,3462.801426478795,8963.456630161829,22954.992327008928,42996.11969866072,100945.56975446428,0.8633735475324549,0.032470830027348185
EMA_14,2479.0,28361.911518094465,21875.628432296533,3490.70822725226,8923.242272118314,22838.730921353657,42959.53982686582,101197.5470568011,0.8540658523599702,-0.0011982862077184464
Ichimoku_Tenkan,2479.0,28362.514075017254,21929.186706952907,3438.3045654296875,8952.550048828125,23071.4853515625,42896.009765625,101928.0625,0.8747237835923637,0.07983986884343741
Ichimoku_Kijun,2479.0,28087.518417450727,21420.391082067843,3543.31884765625,8923.110107421875,22956.203125,43482.54931640625,100133.61328125,0.8239402229807454,-0.06986681978002984
Ichimoku_Senkou_A,2479.0,27296.726744694497,20487.41517074554,3517.564453125,8862.389465332031,22289.56396484375,42208.24169921875,91351.857421875,0.7037832343314022,-0.5967768096629587
Ichimoku_Senkou_B,2479.0,26890.693010398678,19734.852086769504,3731.547973632813,8734.366455078125,21932.623046875,42570.193359375,81048.826171875,0.6260256838625307,-0.8286880558269405
ADX_14,2479.0,39.88553362447318,17.370958731308537,9.046476556002675,26.35823028826835,37.64980428545531,49.70237572343569,95.209840297002,0.6824356516019551,-0.031877885477136214
RSI_14,2479.0,52.589008335100345,18.33557658982975,4.699488750305562,39.45972512014819,52.16625479683101,65.27269959157405,99.2194937714483,0.06785105798546334,-0.5021184448545006
MACD,2479.0,245.90923686196535,1386.6698074866283,-5053.27407958066,-345.1883501244829,40.293884753540624,672.0610372862975,7049.21762707876,0.9081259462244007,3.911944882844005
MACD_Signal,2479.0,244.45406574415904,1321.5342798261775,-4438.999055769626,-327.5908809486642,28.752321523269817,685.2269916818933,6427.784139129347,0.9049431128831039,3.5985832139023177
MACD_Hist,2479.0,1.4551711178063742,376.1657065860734,-1694.5182064276785,-133.37432257090313,3.466093076518717,129.37789060467264,1882.8555504877968,-0.0436704219553145,3.2465853097088724
Williams_R,2479.0,-46.21876280926821,30.153367484050417,-100.0,-73.34330290008617,-44.89492616225672,-17.740320332089723,-0.0,-0.10506427613879328,-1.3262817962142104
K,2479.0,53.58635854626317,23.67785300041457,6.023951527867784,32.59751817066206,54.946905103877015,74.3453658499207,95.49803626745222,-0.08559109247987046,-1.213787629859661
D,2479.0,53.58041310003008,20.970288190842275,8.725398119870365,36.15485538524413,54.41764653563018,70.75075367062084,94.04525329397704,-0.058303041782760585,-1.0618244168369926
J,2479.0,53.598249438729354,35.87998787018323,-23.38112644982316,21.370782813489697,54.75106819772233,86.75162327293111,123.96673692138704,-0.10379850138212182,-1.262854551924419
SQZ_Momentum,2479.0,335.9048046559853,2885.437259381682,-15444.228125,-725.5742065429704,63.0694580078125,1134.7161132812507,16696.958593749994,0.7384634435169208,5.17715499213226
BB_Middle,2479.0,28254.93457366094,21758.891299271938,3524.74482421875,8940.529833984376,22968.26806640625,42982.03876953125,99799.255078125,0.8453029606962374,-0.03134222934529696
BB_Upper,2479.0,31323.286328119448,24021.113969277045,3680.460828801082,9926.760400173025,25229.658402170327,47624.10077994285,106599.08653933222,0.8091385931291339,-0.17793467993989154
BB_Lower,2479.0,25186.582819202427,19694.634111759606,2962.8163036279348,7810.092858320229,19557.8479663771,38163.765240915294,93601.54725684114,0.9220876184213566,0.2572723704529736
BB_Width,2479.0,0.2236925565741783,0.13990532766824137,0.0266647050321976,0.1263999457201564,0.1899222808393946,0.2871676925502743,0.9244913408808206,1.5131793096065456,3.0470694936469647
ATR_14,2479.0,1270.0473842300996,1159.3047459292877,57.92372349330357,335.9614955357143,810.8099539620536,2010.2963169642858,5794.517020089285,1.1070810113620497,0.4228247083277794
FearGreed,2479.0,46.99838644614764,22.080142323968953,5.0,27.0,46.0,66.0,95.0,0.20126278311774218,-1.025919545046905
SP500,2479.0,3885.0593668455654,911.7765404813932,2237.39990234375,2979.074951171875,3934.3798828125,4461.005126953125,6090.27001953125,0.37526757172903036,-0.6793437477311639
DXY,2479.0,98.96484879420235,5.334412610411982,89.02999877929688,94.86000061035156,98.0,103.55999755859376,114.11000061035156,0.23109097522657296,-0.7323556126280524
FED,2479.0,2.35668011294877,2.0038665184943136,0.05,0.09,2.04,4.64,5.33,0.3237479949333465,-1.3834086320287997
CPI,2479.0,279.1401258572005,23.46912830907587,249.577,256.43,272.676,302.845,317.604,0.26280647247867356,-1.5707052892011724
